epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1002.31,0.23719,0.1974,0.88189,0.9997,1,0.995,0.98832,0.17751,0.13609,0.77957,0.0003764,0.0003764,0.0003764
125,1010.32,0.23438,0.19601,0.87963,0.99965,1,0.995,0.98839,0.17985,0.13231,0.7817,0.0003632,0.0003632,0.0003632
126,1018.22,0.24256,0.2011,0.88039,0.99965,1,0.995,0.98725,0.17233,0.13695,0.78111,0.00035,0.00035,0.00035
127,1026.36,0.2268,0.18757,0.87994,0.99914,1,0.995,0.98494,0.18691,0.14128,0.79307,0.0003368,0.0003368,0.0003368
128,1034.27,0.22951,0.19391,0.88031,0.9995,1,0.995,0.98641,0.18376,0.14058,0.79004,0.0003236,0.0003236,0.0003236
129,1042.24,0.21941,0.18617,0.87311,0.99952,1,0.995,0.98832,0.17566,0.13368,0.78087,0.0003104,0.0003104,0.0003104
130,1050.15,0.21939,0.1817,0.87105,0.99965,1,0.995,0.9876,0.17479,0.13253,0.78171,0.0002972,0.0002972,0.0002972
131,1058.26,0.21688,0.18509,0.87888,0.99971,1,0.995,0.98658,0.17216,0.13076,0.78035,0.000284,0.000284,0.000284
132,1066.16,0.22537,0.19263,0.87208,0.99971,1,0.995,0.98805,0.17193,0.13193,0.7816,0.0002708,0.0002708,0.0002708
133,1074.06,0.22279,0.18621,0.87969,0.99971,1,0.995,0.98785,0.16999,0.12986,0.78257,0.0002576,0.0002576,0.0002576
134,1081.95,0.21175,0.18485,0.87948,0.99972,1,0.995,0.98666,0.17548,0.12934,0.78479,0.0002444,0.0002444,0.0002444
135,1089.98,0.21757,0.18241,0.87491,0.99971,1,0.995,0.98659,0.17424,0.12969,0.78757,0.0002312,0.0002312,0.0002312
136,1097.93,0.21721,0.18638,0.8772,0.99971,1,0.995,0.98841,0.17173,0.12954,0.78457,0.000218,0.000218,0.000218
137,1105.92,0.21824,0.17792,0.88002,0.99971,1,0.995,0.9878,0.16502,0.12787,0.78259,0.0002048,0.0002048,0.0002048
138,1113.84,0.20506,0.17838,0.87163,0.9997,1,0.995,0.98669,0.16453,0.12928,0.77831,0.0001916,0.0001916,0.0001916
139,1121.98,0.21915,0.18212,0.87337,0.99965,1,0.995,0.98721,0.16102,0.12366,0.77737,0.0001784,0.0001784,0.0001784
140,1129.96,0.20153,0.17323,0.86749,0.99969,1,0.995,0.98874,0.1615,0.12458,0.77753,0.0001652,0.0001652,0.0001652
141,1139.22,0.14544,0.12834,0.80319,0.99968,1,0.995,0.98735,0.1629,0.12604,0.77985,0.000152,0.000152,0.000152
142,1147.17,0.14341,0.1261,0.79662,0.99968,1,0.995,0.98689,0.16179,0.12422,0.77733,0.0001388,0.0001388,0.0001388
143,1155.28,0.13887,0.12679,0.78774,0.99968,1,0.995,0.98854,0.1649,0.12327,0.778,0.0001256,0.0001256,0.0001256
144,1163.18,0.1335,0.11878,0.79736,0.99971,1,0.995,0.98797,0.15894,0.12293,0.77561,0.0001124,0.0001124,0.0001124
145,1171.05,0.13542,0.11886,0.8029,0.99971,1,0.995,0.98775,0.15779,0.12206,0.77526,9.92e-05,9.92e-05,9.92e-05
146,1178.94,0.12963,0.11726,0.78788,0.99972,1,0.995,0.98871,0.15483,0.11991,0.7744,8.6e-05,8.6e-05,8.6e-05
147,1187,0.12858,0.1162,0.79518,0.9997,1,0.995,0.99007,0.15217,0.11868,0.7723,7.28e-05,7.28e-05,7.28e-05
148,1194.92,0.12991,0.11556,0.80125,0.9997,1,0.995,0.98839,0.15287,0.11672,0.77251,5.96e-05,5.96e-05,5.96e-05
149,1202.85,0.12366,0.1133,0.78952,0.9997,1,0.995,0.98918,0.14923,0.11481,0.77202,4.64e-05,4.64e-05,4.64e-05
150,1210.74,0.12598,0.10938,0.79308,0.9997,1,0.995,0.98846,0.14888,0.11357,0.77237,3.32e-05,3.32e-05,3.32e-05
